cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
ZA,328204,WIFI-Wave-AS,0,0,30
GQ,328207,OFFICE-TECH,0.8125,0.95,80
GA,328208,GLOBALSAT,0,0,1
AO,328211,SETIC-FP-AS,0,0,1
GH,328212,The-University-Of-Cape-Coast-AS,0.7706,0.5505,109
GH,328213,IT-Consortium-Limited-AS,0,0,0
ZA,328214,Bioniq-Ltd-AS,0,0,24
BF,328215,Universal-Communication-AS,0,0,10
ZA,328216,Firestream-AS,0.9846,0.9231,65
ZA,328220,Altech-Radio-AS,0.037,0.0912,351
NG,328221,CORALPAY,0,0,11
MZ,328223,VOIPTECH-LIMITADA-AS,0,0,11
KE,328225,Strathmore-University,0.0427,0.7134,164
BJ,328228,Benin-Telecoms-AS,0.9259,1,54
ZA,328229,Aeonova360-AS,0,0,10
ZW,328230,Hammer-and-Tongues-AS,0.0598,0.2735,117
ZA,328231,Zazu-Internet-AS,0,0,12
ZA,328232,HX-Systems-AS,0.2,0.1826,115
SL,328236,PCS-Holdings-Limited,0.0273,0.0929,183
ZA,328239,EvoNet-AS,0.8453,0.7708,349
NG,328240,DANGOTE-AS,0.0606,1,66
ZA,328242,IP-Labs-AS,0,0,17
GN,328244,Skyvision-Guinee-AS,0.7619,0.7211,147
BF,328245,ARCEP-AS,0,0,0
AO,328248,Contidis-AS,0,0,2
CD,328249,Kinshasa-Wireless-AS,0.9186,0.9231,221
SO,328250,Golis-Telecom-AS,0.115,0.1892,27755
ZA,328251,Force-Telecoms-AS,0.8689,0.5902,61
ML,328253,MALI-ATEL,0.9012,1,840
ZA,328255,Infraplex-AS,0,0,27
NG,328256,Skymax-Integrated-Network-AS,0,0,1
SL,328258,Zen-Internet,0.4991,0.7444,579
SN,328259,WAW-SAS,0.926,0.1011,554
GH,328261,E-CONNECTA-LIMITED,0.1923,0.9038,104
ZA,328262,Internet-Uncapped,1,0.9804,51
ZA,328266,Atomic-AS,0,0,2
ZA,328270,WTTX-Communications-AS,0,0,0
KE,328271,Syokinet-Solutions-AS,0.7059,0.8595,306
